year,quarter_num,cpi,cpi_qoq_growth,cpi_yoy_growth,cpi_volatility_4q
2022,1,147.0,,,
2022,2,151.53333333333333,0.030839002267573745,,
2022,3,152.79999999999998,0.008358996920369455,,
2022,4,153.63333333333333,0.005453752181501015,,
2023,1,154.5666666666667,0.0060750705142116335,0.05147392290249453,0.012169143634345556
2023,2,156.86666666666667,0.01488031054561123,0.035195776506819154,0.004310477441588618
2023,3,158.4333333333333,0.009987250318741925,0.03686736474694596,0.004345285621991304
2023,4,158.5666666666667,0.000841573742899504,0.0321110870036887,0.005950479397482517
2024,1,158.96666666666667,0.0025225982762244747,0.02846668104377814,0.006557003225305165
2024,2,161.16666666666666,0.013839379324805945,0.027411814704632276,0.006151162862644644
2024,3,161.66666666666666,0.0031023784901758056,0.020408163265306145,0.005920085140525544
2024,4,161.6,-0.0004123711340205949,0.019129703594702452,0.006243455018533382
2025,1,162.6,0.006188118811881083,0.02285594464248275,0.006071649221860906
2025,2,164.03333333333333,0.0088150881508815,0.01778697001034124,0.003980407749316541
2025,3,164.86666666666667,0.005080268238162988,0.019793814432989887,0.00388328405085514
2025,4,165.35000000000002,0.002931661949049813,0.023205445544554726,0.002448007774015294
